796356000/815104800  is  2005-Mar-27 (Sun) W02:00 .. Oct-30 (Sun) W02:00
764906400/783655200  is  2004-Mar-28 (Sun) W02:00 .. Oct-31 (Sun) W02:00
733456800/751600800  is  2003-Mar-30 (Sun) W02:00 .. Oct-26 (Sun) W02:00
702007200/720151200  is  2002-Mar-31 (Sun) W02:00 .. Oct-27 (Sun) W02:00
669952800/688701600  is  2001-Mar-25 (Sun) W02:00 .. Oct-28 (Sun) W02:00
638503200/657252000  is  2000-Mar-26 (Sun) W02:00 .. Oct-29 (Sun) W02:00
607053600/625802400  is  1999-Mar-28 (Sun) W02:00 .. Oct-31 (Sun) W02:00
575604000/593748000  is  1998-Mar-29 (Sun) W02:00 .. Oct-25 (Sun) W02:00
544154400/562298400  is  1997-Mar-30 (Sun) W02:00 .. Oct-26 (Sun) W02:00
512704800/530848800  is  1996-Mar-31 (Sun) W02:00 .. Oct-27 (Sun) W02:00
480650400/496375200  is  1995-Mar-26 (Sun) W02:00 .. Sep-24 (Sun) W02:00
449200800/464925600  is  1994-Mar-27 (Sun) W02:00 .. Sep-25 (Sun) W02:00
417751200/433476000  is  1993-Mar-28 (Sun) W02:00 .. Sep-26 (Sun) W02:00
386301600/402026400  is  1992-Mar-29 (Sun) W02:00 .. Sep-27 (Sun) W02:00
354852000/370576800  is  1991-Mar-31 (Sun) W02:00 .. Sep-29 (Sun) W02:00
322797600/339127200  is  1990-Mar-25 (Sun) W02:00 .. Sep-30 (Sun) W02:00
291348000/307072800  is  1989-Mar-26 (Sun) W02:00 .. Sep-24 (Sun) W02:00
259898400/275623200  is  1988-Mar-27 (Sun) W02:00 .. Sep-25 (Sun) W02:00
228448800/244173600  is  1987-Mar-29 (Sun) W02:00 .. Sep-27 (Sun) W02:00
196999200/212724000  is  1986-Mar-30 (Sun) W02:00 .. Sep-28 (Sun) W02:00
165549600/181274400  is  1985-Mar-31 (Sun) W02:00 .. Sep-29 (Sun) W02:00
133495200/149824800  is  1984-Mar-25 (Sun) W02:00 .. Sep-30 (Sun) W02:00
102045600/117770400  is  1983-Mar-27 (Sun) W02:00 .. Sep-25 (Sun) W02:00
70596000/86320800    is  1982-Mar-28 (Sun) W02:00 .. Sep-26 (Sun) W02:00
39146400/54871200    is  1981-Mar-29 (Sun) W02:00 .. Sep-27 (Sun) W02:00
